ticker,core_version,data_status,price,rsi,signal,technical_score,options_quality_score,win_probability,probability_adjustment,min_entry_credit,contracts,spread,short_strike,long_strike,expiration,dte,earnings_date,earnings_days,earnings_status,credit,commission_rt,max_loss,net_max_loss,roc,net_roc,prob_otm,delta,delta_source,iv_rank,short_iv,expected_move,em_distance,liquidity,oi,bid_ask_spread_pct,reject_reason,executable,final_score,options_score,scan_time_utc,signal_id,history_status,scan_error
JNJ,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
WMT,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
COST,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
HD,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
LOW,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
TGT,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
SBUX,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
MDLZ,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
CMCSA,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
MSFT,2026.08.12-algo-v1.3-100,OK_EXECUTABLE_OPTIONS,492.43,70.8,CALL,66,80,90.0,1.3,0.29,1,545/550 CCS,545.0,550.0,2026-09-18,37,2026-10-28,77,OK,0.31,2.6,469.0,471.6,6.6,6.0,88.7,0.13,BS estimate from yfinance IV (not broker Greek),100,26.0,40.8,1.29,Alta,5256.0,5.6,,True,90,80,2026-08-12T23:39:45.687086+00:00,MSFT-20260812-545C550C,PASS,
AAPL,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
