signal_id,opportunity_key,first_seen_utc,last_seen_pass_utc,ticker,side,spread,short_strike,long_strike,expiration,entry_dte,entry_price,entry_credit,commission_rt,net_max_loss,entry_win_probability,entry_prob_otm,entry_delta,entry_net_roc,entry_expected_move,entry_em_distance,entry_iv_rank,entry_short_iv,entry_oi,entry_bid_ask_pct,entry_liquidity,entry_rsi,entry_technical_score,entry_options_quality_score,hold_status,hold_exit_utc,hold_exit_reason,hold_pnl_net,hold_result,hold_return_pct,hold_days_held,tp50_status,tp50_exit_utc,tp50_exit_reason,tp50_exit_debit,tp50_pnl_net,tp50_result,tp50_return_pct,tp50_days_held,tp50_stop2x_status,tp50_stop2x_exit_utc,tp50_stop2x_exit_reason,tp50_stop2x_exit_debit,tp50_stop2x_pnl_net,tp50_stop2x_result,tp50_stop2x_return_pct,tp50_stop2x_days_held,latest_mark_utc,latest_underlying_price,latest_close_debit,latest_unrealized_pnl_net,latest_dte
CMCSA-20260813T1610-27.5C30C,CMCSA|2026-09-18|CALL|27.5|30,2026-08-13T16:10:09.171557+00:00,2026-08-13T16:10:09.171557+00:00,CMCSA,CALL,27.5/30 CCS,27.5,30.0,2026-09-18,36,25.85,0.25,2.6,227.6,75.2,74.2,0.29,9.8,2.47,0.67,61.8,30.5,12829.0,13.0,Alta,63.6,65,93,OPEN,,,,,,,OPEN,,,,,,,,CLOSED,2026-08-19T15:46:03.221578+00:00,STOP2X_OBSERVED,0.6,-37.6,LOSS,-16.52,5.98,2026-08-20T18:58:12.906151+00:00,26.479999542236328,0.43,-20.6,29
XOM-20260813T1610-175C180C,XOM|2026-09-18|CALL|175|180,2026-08-13T16:10:09.171557+00:00,2026-08-17T18:57:37.526132+00:00,XOM,CALL,175/180 CCS,175.0,180.0,2026-09-18,36,159.43,0.35,2.6,467.6,89.5,86.0,0.16,6.9,13.62,1.14,43.7,27.2,15807.0,11.2,Alta,64.1,65,75,OPEN,,,,,,,OPEN,,,,,,,,CLOSED,2026-08-17T18:57:37.526132+00:00,STOP2X_OBSERVED,0.74,-41.6,LOSS,-8.9,4.12,2026-08-20T18:58:12.906151+00:00,167.1699981689453,1.23,-90.6,29
COP-20260813T1610-135C140C,COP|2026-09-18|CALL|135|140,2026-08-13T16:10:09.171557+00:00,2026-08-17T18:57:37.526132+00:00,COP,CALL,135/140 CCS,135.0,140.0,2026-09-18,36,125.17,0.44,2.6,458.6,82.2,80.2,0.224,9.0,11.08,0.89,49.0,28.2,1894.0,8.8,Alta,63.5,65,98,OPEN,,,,,,,OPEN,,,,,,,,CLOSED,2026-08-13T16:10:09.171557+00:00,STOP2X_OBSERVED,0.92,-50.6,LOSS,-11.03,0.0,2026-08-20T18:58:12.906151+00:00,134.49000549316406,2.18,-176.6,29
SPY-20260813T1610-811C816C,SPY|2026-09-18|CALL|811|816,2026-08-13T16:10:09.171557+00:00,2026-08-13T16:10:09.171557+00:00,SPY,CALL,811/816 CCS,811.0,816.0,2026-09-18,36,775.99,0.5,2.6,452.6,90.0,86.6,0.142,10.5,28.21,1.24,55.2,11.6,1970.0,1.2,Alta,66.5,65,95,OPEN,,,,,,,CLOSED,2026-08-18T15:46:33.931164+00:00,TP50_OBSERVED,0.17,30.4,WIN,6.72,4.98,CLOSED,2026-08-18T15:46:33.931164+00:00,TP50_OBSERVED,0.17,30.4,WIN,6.72,4.98,2026-08-20T18:58:12.906151+00:00,763.47998046875,0.08,39.4,29
XLV-20260813T1610-175C180C,XLV|2026-09-18|CALL|175|180,2026-08-13T16:10:09.171557+00:00,2026-08-17T15:39:03.132590+00:00,XLV,CALL,175/180 CCS,175.0,180.0,2026-09-18,36,168.4,0.63,2.6,439.6,75.8,73.8,0.28,13.7,9.38,0.7,53.0,17.7,6904.0,15.0,Alta,65.9,65,93,OPEN,,,,,,,OPEN,,,,,,,,CLOSED,2026-08-19T15:46:03.221578+00:00,STOP2X_OBSERVED,2.33,-172.6,LOSS,-39.26,5.98,2026-08-20T18:58:12.906151+00:00,173.3300018310547,1.77,-116.6,29
XLF-20260813T1610-60C63C,XLF|2026-09-18|CALL|60|63,2026-08-13T16:10:09.171557+00:00,2026-08-14T19:13:12.387647+00:00,XLF,CALL,60/63 CCS,60.0,63.0,2026-09-18,36,57.82,0.21,2.6,281.6,79.4,77.4,0.24,6.5,2.58,0.84,23.2,14.2,26860.0,10.2,Alta,64.6,65,83,OPEN,,,,,,,OPEN,,,,,,,,OPEN,,,,,,,,2026-08-20T18:58:12.906151+00:00,57.17499923706055,0.14,4.4,29
SBUX-20260813T1918-115C120C,SBUX|2026-09-18|CALL|115|120,2026-08-13T19:18:49.144595+00:00,2026-08-13T19:18:49.144595+00:00,SBUX,CALL,115/120 CCS,115.0,120.0,2026-09-18,36,109.48,0.81,2.6,421.6,72.3,72.8,0.298,18.6,8.62,0.64,11.7,25.1,5025.0,1.4,Alta,64.2,65,88,OPEN,,,,,,,CLOSED,2026-08-20T15:49:43.584256+00:00,TP50_OBSERVED,0.34,44.4,WIN,10.53,6.85,CLOSED,2026-08-20T15:49:43.584256+00:00,TP50_OBSERVED,0.34,44.4,WIN,10.53,6.85,2026-08-20T18:58:12.906151+00:00,103.25499725341797,0.18,60.4,29
LMT-20260813T1918-645C650C,LMT|2026-09-18|CALL|645|650,2026-08-13T19:18:49.144595+00:00,2026-08-14T19:13:12.387647+00:00,LMT,CALL,645/650 CCS,645.0,650.0,2026-09-18,36,599.25,0.4,2.6,462.6,86.9,82.9,0.191,8.1,45.37,1.01,89.7,24.1,152.0,4.8,Media,65.1,65,100,OPEN,,,,,,,OPEN,,,,,,,,CLOSED,2026-08-13T19:18:49.144595+00:00,STOP2X_OBSERVED,1.0,-62.6,LOSS,-13.53,0.0,2026-08-20T18:58:12.906151+00:00,574.4299926757812,1.45,-107.6,29
DIS-20260813T1918-110C115C,DIS|2026-09-18|CALL|110|115,2026-08-13T19:18:49.144595+00:00,2026-08-13T19:18:49.144595+00:00,DIS,CALL,110/115 CCS,110.0,115.0,2026-09-18,36,104.51,0.64,2.6,438.6,77.9,75.9,0.264,14.0,7.32,0.75,54.5,22.3,15302.0,4.9,Alta,63.4,65,93,OPEN,,,,,,,OPEN,,,,,,,,CLOSED,2026-08-20T15:49:43.584256+00:00,STOP2X_OBSERVED,1.34,-72.6,LOSS,-16.55,6.85,2026-08-20T18:58:12.906151+00:00,107.5199966430664,1.29,-67.6,29
NEM-20260813T1918-125C130C,NEM|2026-09-18|CALL|125|130,2026-08-13T19:18:49.144595+00:00,2026-08-13T19:18:49.144595+00:00,NEM,CALL,125/130 CCS,125.0,130.0,2026-09-18,36,113.91,0.65,2.6,437.6,77.3,76.3,0.282,14.3,15.6,0.71,53.5,43.6,3543.0,7.9,Alta,67.3,61,93,OPEN,,,,,,,OPEN,,,,,,,,CLOSED,2026-08-14T16:06:27.403332+00:00,STOP2X_OBSERVED,1.43,-80.6,LOSS,-18.42,0.87,2026-08-20T18:58:12.906151+00:00,127.87999725341797,2.55,-192.6,29
